Index;ICO_Name;URL;ICO_price;ico_launch_month;ico_end_month;accepted_currency;ticker;platform;category;country
0;World Cup Apes;https://icoholder.com/en/world-cup-apes-1024462;;;;;WCA;;Platform ;
1;Premium Trade;https://icoholder.com/en/premium-trade;;Jan 10, 2018;;;;;Platform, Other ;
2;Moneypot X (MPX) ICO;https://icoholder.com/en/moneypot-x-mpx-ico-3246;;Sep 13, 2017;;;;;Entertainment ;
3;LoopX;https://icoholder.com/en/loopx-17448;;Jan 10, 2018;;ETH, BTC ;LPX;;Platform, Cryptocurrency ;Germany  
4;Cromacoin;https://icoholder.com/en/cromacoin-25611;;Aug 21, 2018;;ETH, BTC, LTC ;CRC;;Platform ;United Kingdom 
5;CryptoKami;https://icoholder.com/en/cryptokami-18029;;Mar 20, 2018;;;KAMI;;Cryptocurrency ;
6;Maximine ICO;https://icoholder.com/en/maximine-ico-21047;;Apr 25, 2018;;;;;Platform, Cryptocurrency ;Singapore 
7;Cruisebit;https://icoholder.com/en/cruisebit-21907;0.04 USD;May, 2018;;ETH, BTC ;CRBT;;Platform ;United Kingdom 
8;IDAC;https://icoholder.com/en/idac-26986;0.005 ETH;Nov 1, 2018;;ETH ;IDAC;;Platform ;Singapore 
9;TrueGOLD;https://icoholder.com/en/truegold-27002;0.22 USD;Nov 1, 2018;Nov 30, 2018;;TXAU;;Platform ;Singapore 
10;IstaPay;https://icoholder.com/en/istapay-27022;;Oct 30, 2018;;ETH, BTC ;ISTA PAY;;Platform ;United Kingdom 
11;SupportChain;https://icoholder.com/en/supportchain-23096;;Jul 15, 2018;;ETH ;SUP;;Platform, Cryptocurrency, Charity, Business services ;
12;Peoples Token;https://icoholder.com/en/peoples-token-23798;;Jul, 2018;;ETH, BTC, ETC, LTC, BCH ;;;Cryptocurrency ;India 
13;Dein Anteil;https://icoholder.com/en/dein-anteil-26037;;Oct 21, 2018;;ETH, BTC, ZEC, DASH ;;;Platform ;Russia 
14;Loanbyte;https://icoholder.com/en/loanbyte-26891;1 USD;Feb 26, 2019;;;LBYT;;Platform ;
15;Xbitcore;https://icoholder.com/en/xbitcore-27042;;Oct 29, 2018;;ETH, BTC, LTC ;;;Platform  ;China 
16;IguVerseâ„¢;https://icoholder.com/en/iguverse-1025023;0.04 BUSD;Jun 25, 2022;;;IGU;;Platform ;
17;Bchconnect;https://icoholder.com/en/bchconnect-17882;1.6 USD;Jan 19, 2018;;;BHCH;;;
18;Pincoin (PIN);https://icoholder.com/en/pincoin-pin-18991;;Dec 19, 2017;;;;;;
19;IMPRESSIO;https://icoholder.com/en/impressio-21469;;Apr 1, 2018;;;;;Cryptocurrency ;
20;Easy Trading Platform;https://icoholder.com/en/easy-trading-platform-22665;;Jun 1, 2018;;;;;Platform ;
21;Digital Degree;https://icoholder.com/en/digital-degree-24122;0.09 USD;Aug 15, 2018;;ETH, BTC ;;;Platform, Education ;United Kingdom 
22;KOILOP;https://icoholder.com/en/koilop-25795;;Oct 15, 2018;;ETH ;KLP;;Platform ;Poland 
23;Medica.ai;https://icoholder.com/en/medica-ai-26242;;Sep 28, 2018;;ETH, BTC, FIAT ;;;Platform ;Belize 
24;Wide Energy;https://icoholder.com/en/wide-energy-27256;;Nov 28, 2018;;ETH, BTC, LTC ;WIDE;;Platform ;United Kingdom 
25;Ebosia;https://icoholder.com/en/ebosia-28138;;Mar 18, 2019;;;XEBS;;Platform ;
